단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSPI200섹터업종,KOSPI100,KOSPI50,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSPI,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
044380,KR7044380004,주연테크,ST,3.0,0,13,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,537,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,33359,200,20061115,59199,11839848800,12.0,,0,,N,N,Y,306,-27,-25,-25,-8.31,20230930.0,317,,N,N,N
044450,KR7044450005,KSS해운,ST,3.0,0,19,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,8400,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,55451,500,20071026,23085,11592940000,12.0,,0,,N,N,Y,3448,666,238,229,7.14,20230930.0,1939,,N,N,N
044820,KR7044820009,코스맥스비티아이,ST,3.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,10320,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,7564,500,20061113,9603,4801960500,12.0,,0,,N,N,Y,4727,170,124,48,4.29,20230930.0,991,,N,N,N
047040,KR7047040001,대우건설,ST,2.0,0,18,0,N,N,N,1,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,Y,,N,N,N,N,N,4585,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,655074,5000,20010323,415622,2078113190000,12.0,,0,,N,Y,Y,88696,5846,5855,4122,13.85,20230930.0,19056,123,N,N,N
047050,KR7047050000,포스코인터내셔널,ST,1.0,0,16,0,N,N,N,9,Y,N,Y,,Y,Y,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,57300,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,669248,5000,20010323,175922,879613940000,12.0,,0,,N,Y,Y,252234,9485,8096,6070,16.1,20230930.0,100803,853,N,N,N
047400,KR7047400007,유니온머티리얼,ST,3.0,0,10,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,2670,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,212758,500,20090929,42000,21000000000,12.0,,0,,N,N,Y,893,-23,-35,-37,-6.01,20230930.0,1121,,N,N,N
047810,KR7047810007,한국항공우주,ST,1.0,0,15,0,Y,N,N,9,Y,N,Y,,Y,Y,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,46350,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,278356,5000,20110630,97475,487375535000,12.0,,0,,N,Y,Y,23093,932,1164,925,8.61,20230930.0,45179,,N,N,N
049770,KR7049770001,동원F&B,ST,2.0,0,5,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,31200,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,8216,1000,20001123,19295,19295620000,12.0,,0,,N,N,Y,33403,1339,1171,909,13.12,20230930.0,6020,,N,N,N
049800,KR7049800006,우진플라임,ST,3.0,0,12,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,3170,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,21122,500,20060524,20000,10000000000,12.0,,0,,N,N,Y,1579,70,61,57,7.23,20230930.0,634,,N,N,N
051600,KR7051600005,한전KPS,ST,2.0,0,18,0,N,N,N,9,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,Y,34950,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,94211,200,20071214,45000,9000000000,12.0,,0,,N,Y,Y,10934,1402,1519,1166,12.53,20230930.0,15727,,N,N,N
