단축코드,표준코드,한글종목명,증권그룹구분코드,시가총액 규모 구분 코드 유가,지수업종 대분류 코드,지수 업종 중분류 코드,지수업종 소분류 코드,벤처기업 여부 (Y/N),저유동성종목 여부,KRX 종목 여부,ETP 상품구분코드,KRX100 종목 여부 (Y/N),KRX 자동차 여부,KRX 반도체 여부,KRX 바이오 여부,KRX 은행 여부,기업인수목적회사여부,KRX 에너지 화학 여부,KRX 철강 여부,단기과열종목구분코드,KRX 미디어 통신 여부,KRX 건설 여부,(코스닥)투자주의환기종목여부,KRX 증권 구분,KRX 선박 구분,KRX섹터지수 보험여부,KRX섹터지수 운송여부,"KOSDAQ150지수여부 (Y,N)",주식 기준가,정규 시장 매매 수량 단위,시간외 시장 매매 수량 단위,거래정지 여부,정리매매 여부,관리 종목 여부,시장 경고 구분 코드,시장 경고위험 예고 여부,불성실 공시 여부,우회 상장 여부,락구분 코드,액면가 변경 구분 코드,증자 구분 코드,증거금 비율,신용주문 가능 여부,신용기간,전일 거래량,주식 액면가,주식 상장 일자,상장 주수(천),자본금,결산 월,공모 가격,우선주 구분 코드,공매도과열종목여부,이상급등종목여부,KRX300 종목 여부 (Y/N),매출액,영업이익,경상이익,단기순이익,ROE(자기자본이익률),기준년월,전일기준 시가총액 (억),그룹사 코드,회사신용한도초과여부,담보대출가능여부,대주가능여부
057030,KR7057030009,YBM넷,ST,3.0,1006,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4565,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,439736,500,20040608,16312,8156348500,12,,0,,N,N,452,41,49,40,11,20230930.0,744,,N,N,N
057540,KR7057540007,옴니시스템,ST,3.0,0,1009,1029,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,882,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,286205,500,20070919,61449,30724677500,12,,0,,N,N,470,5,5,3,1,20230630.0,541,,N,N,N
057680,KR7057680001,티사이언티픽,ST,3.0,1007,1017,1035,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1907,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,1381866,500,20020618,68694,34347388000,12,,0,,N,N,101,-26,-78,-82,-8,20230630.0,1310,,N,N,N
057880,KR7057880007,피에이치씨,ST,3.0,0,1011,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,Y,N,N,N,N,N,1740,1,1,Y,N,Y,0,N,N,N,0,0,0,100,N,90,0,500,20031229,118807,59403687500,12,,0,,N,N,17,-87,-115,-115,-118,20230930.0,2067,,N,N,N
058110,KR7058110008,멕아이씨에스,ST,3.0,0,1009,1029,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4010,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,12519921,500,20151214,16050,8025265000,12,,0,,N,N,97,-98,-102,-108,-23,20230930.0,643,,N,N,N
058220,KR7058220005,아리온,ST,3.0,1007,1018,1038,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,Y,N,N,N,N,N,275,1,1,Y,N,Y,0,N,N,N,0,0,0,100,N,90,0,500,20050805,38974,19487122000,12,,0,,N,N,57,-16,-20,-20,-36100000,20210930.0,107,,N,N,N
058400,KR7058400003,KNN,ST,3.0,1007,1016,1033,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1086,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,5291866,500,20101103,132429,66214860000,12,,0,,N,N,452,51,86,67,4,20230930.0,1438,,N,N,N
058450,KR7058450008,엔터파트너즈,ST,3.0,0,1009,1023,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,464,1,1,Y,N,N,0,N,N,N,0,0,0,100,N,90,0,500,20020117,52152,26076373000,12,,0,,N,N,26,-43,-43,-28,-41,20230630.0,241,,N,N,N
058470,KR7058470006,리노공업,ST,1.0,1007,1018,1040,N,N,Y,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,Y,195500,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,340455,500,20011218,15242,7621185000,12,,0,,N,Y,3224,1366,1541,1144,25,20221231.0,29798,,N,N,N
058530,KR7058530007,파나케이아,ST,3.0,0,1009,1027,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1620,1,1,Y,N,Y,0,N,N,N,0,0,0,100,N,90,0,500,20020205,20078,10039214000,12,,0,,N,N,46,-36,-28,-28,-6,20230930.0,325,,N,N,N
058610,KR7058610007,에스피지,ST,1.0,1007,1018,1041,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,33200,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,885843,500,20020723,22177,11088680000,12,,0,,N,N,2968,133,111,90,6,20230930.0,7362,,N,N,N
058630,KR7058630005,엠게임,ST,3.0,1007,1017,1035,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6500,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,101965,500,20081219,19543,9771938500,12,,0,,N,N,559,122,165,142,19,20230930.0,1270,,N,N,N
058820,KR7058820002,CMG제약,ST,2.0,0,1009,1024,N,N,Y,,N,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,N,2150,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,376267,500,20010831,138892,69446122000,12,,0,,N,N,719,41,94,91,6,20230930.0,2986,,N,N,N
058970,KR7058970005,엠로,ST,1.0,1007,1017,1036,,N,N,,N,,,,,N,,,0,,,N,,,,,N,66800,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,278088,500,20210813,11212,5970377000,12,,0,,N,N,293,23,-176,-136,-61,20230630.0,7489,,N,N,N
059090,KR7059090001,미코,ST,2.0,1007,1018,1040,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,Y,N,N,N,N,N,8850,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,107389,500,20020115,33416,16708389000,12,,0,,N,N,1947,159,148,66,-6,20230630.0,2957,,N,N,N
059100,KR7059100008,아이컴포넌트,ST,3.0,1007,1018,1041,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,5690,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,3492,500,20081216,7070,3535430000,12,,0,,N,N,353,29,32,32,10,20221231.0,402,,N,N,N
059120,KR7059120006,아진엑스텍,ST,3.0,1007,1018,1040,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,10670,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,658797,500,20140724,9748,5071428500,12,,0,,N,N,357,21,13,16,4,20221231.0,1040,,N,N,N
059210,KR7059210005,메타바이오메드,ST,3.0,0,1009,1024,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4330,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,837662,500,20080415,23862,11931175500,12,,0,,N,N,408,67,57,48,16,20230630.0,1033,,N,N,N
059270,KR7059270009,해성티피씨,ST,3.0,0,1009,1026,,N,N,,N,,,,,N,,,0,,,N,,,,,N,5930,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,27960,500,20210421,10020,5010424000,12,,0,,N,N,139,-13,-10,-10,-3,20221231.0,594,,N,N,N
060150,KR7060150000,인선이엔티,ST,2.0,1006,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,Y,7680,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,103632,500,20020614,46563,23281806000,12,,0,,N,N,1139,158,145,111,6,20230630.0,3576,,N,N,N
